1,2-1-4-3-4,2-1-4-3-4,-0.072-0.282--17.752-1.784-1.998,True
2,1-4-4-2-3,1-4-4-2-3,1.418-1.767-1.968-2.801-2.975,True
3,3-2-4-1-4,3-2-4-1-4,0.342--31.061-1.712-1.958-7.379,True
1,4-3-2-4-1,4-3-2-4-1,3.025-3.255--23.562-4.222-4.539,True
2,3-4-1-2-4,3-4-3-1-4,0.922-1.140-1.390-1.938-2.204,False
3,1-3-4-2-4,,,False
1,3-1-4-4-2,3-1-4-4-2,1.533-1.762-2.115-2.312-2.612,True
2,1-3-4-2-4,1-4-3-2-4,0.770-0.939-1.120-1.484-1.868,False
3,4-1-4-2-3,4-1-3-4-2,1.887-2.166-2.502-2.884-3.149,False
1,4-2-4-3-1,4-4-4-4-4,1.096-1.279-1.421-1.559-1.700,False
2,1-4-2-4-3,4-4-4-4-4,-2.047-0.291-0.423-0.541-0.659,False
3,2-4-4-1-3,2-4-3-1-4,-121.837-2.106-2.341-2.431-2.659,False
1,4-2-3-4-1,1-4-2-2-2,1.526-1.680-1.923-4.143-4.575,False
2,4-2-3-1-4,2-4-2-3-1,-1.881-1.792-2.359-2.574-2.699,False
3,3-1-4-2-4,4-3-1-4-2,-2.053-1.850-1.993-2.231-2.432,False
1,4-3-1-2-4,4-3-1-2-4,-17.474-2.373-2.606-2.840-3.673,True
2,4-4-3-1-2,4-4-3-1-2,1.909-2.064-2.268-2.414-2.601,True
3,3-2-4-4-1,3-2-4-4-1,1.790-1.971-2.220-2.354-2.482,True
1,2-4-3-1-4,,,False,2025-05-26 22:00:28
2,4-2-4-3-1,,,False,2025-05-26 22:00:36
3,2-4-3-1-4,,,False,2025-05-26 22:00:44
